0,1,2,3,4,5,correct,choiceA_probs,choiceB_probs,choiceC_probs,choiceD_probs
Which State ordinarily exercises jurisdiction in respect of crimes committed on board vessels?,The coastal State,The flag State,All States enjoy such jurisdiction,The International Tribunal for the Law of the Sea,B,True,0.00576995313167572,0.016917720437049866,0.0021569314412772655,0.0058289784938097
What is the meaning of justiciability?,Justiciability refers to the possibility of enforcement of a particular right by the relevant rights holders,Justiciability refers to the just nature or cause of a particular right,Justiciability refers to the courts' assessment of whether the non-enforcement of a particular rights conforms to principles of justice,Justiciability refers to the obligation of a State to enforce a particular Right,A,False,0.005743555258959532,0.019038818776607513,0.002193284220993519,0.006745125632733107
In what way is Responsibility to Protect (R2P) different from humanitarian intervention?,R2P is essentially the same as humanitarian intervention,R2P requires a call for assistance by the State in distress,R2P is less arbitrary because it requires some UNSC input and its primary objective is to avert a humanitarian crisis,"R2P always involves armed force, whereas humanitarian intervention does not",C,False,0.005055341403931379,0.016480734571814537,0.002058367244899273,0.005376170389354229
What is the 'Lotus principle'?,"The so-called Lotus principle is that 'restrictions upon the independence of States cannot therefore be presumed', or, as it has been construed, 'whatever is not prohibited is permitted in international law'",The so-called Lotus principle is that States are free to choose the Court that they will submit their disputes,The so-called Lotus principle is that States are not prohibited to assert their enforcement jurisdiction on the high seas,The so-called Lotus principle is that customary law derives from the combination of State practice and opinio juris,A,False,0.004471284803003073,0.014951391145586967,0.0019879844039678574,0.005063953343778849
Which of these statements best describes the UK Constitution?,The UK Constitution's only source of power is that of the sovereign,The UK Constitution gives the judiciary the power to overturn acts of parliament,The UK Constitution is uncodified and can be found in a number of sources,The UK Constitution is based on a Bill of Rights,C,False,0.005676635541021824,0.017824629321694374,0.002245489042252302,0.0063795484602451324
What is the obligation of the peaceful settlement of disputes?,"It is an obligation of result, that is, States are under a strict obligation to resolve their disputes as soon as possible","It is an obligation of conduct, ie States have an obligation to try to resolve their disputes through peaceful means. This does not entail an obligation to resolve their disputes",It is a peremptory norm of international law and all States have a legal interest to safeguard its application in any given dispute,It is an obligation which concerns solely international courts and tribunals,B,True,0.005198320839554071,0.01594015583395958,0.002019840059801936,0.005651415791362524
Which one of the following statements is false?,Protocol 14 changed the committee that hears admissibility cases from a three judge to a one judge formation,Protocol 14 added a new criterion for admissibility,Protocol 14 abolished the Commission of Human Rights,Protocol 14 extended the judicial term of office for the European Court of Human Rights,C,False,0.004521679598838091,0.015524816699326038,0.002012688433751464,0.005355155095458031
Which is a 'rock' under the UN Convention of the Law of the Sea (UNCLOS)?,Rocks are the islands that are less than 10 square miles,Rocks are the islands that do not have any maritime zone,Rocks are the islands which cannot sustain human habitation or economic life of their own and according to article 121 (3) have no Exclusive Economic Zone or continental shelf.,Rocks are the small islands that can sustain human habitation,C,False,0.005865484941750765,0.017530107870697975,0.002256539883092046,0.006470581982284784
What is the meaning of international legal personality?,It means that only States are considered subjects of international law,It means having rights and duties under international law and a capacity to enforce these by or against the relevant actor,It means that an entity may challenge the authority of States,"It is a term that is meant to denote legal, as opposed, to physical persons under international law",B,True,0.005579731892794371,0.01870698668062687,0.0021229367703199387,0.006157212890684605
Which of the following is a treaty-based human rights mechanism?,The UN Human Rights Committee,The UN Human Rights Council,The UN Universal Periodic Review,The UN special mandates,A,False,0.006031634286046028,0.017501771450042725,0.00218192208558321,0.006054386962205172
The UN Vienna Declaration 1993 declared that,Third generation rights are of primary importance,Civil and political rights are core rights,"All types of rights are indivisible, interrelated and interdependent",Social and economic rights are non-enforceable,C,False,0.00570393493399024,0.018007926642894745,0.002159685827791691,0.00621557654812932
What is the principal source of immunity in respect of international organisations (IOs)?,The principal source of immunity for IOs is the UN Charter,The principal sources of immunity for IOs are headquarters agreements and multilateral treaties providing specific immunities,The principal source of immunity for IOs is customary law,The principal source of immunity for IOs is the Vienna Convention on Diplomatic Immunities,B,True,0.005258661694824696,0.016651876270771027,0.002127165673300624,0.005868284497410059
Is there any hierarchy or priority among States under international law?,"Yes, the States that were the founding members of the United Nations are vested with more powers and authority","Yes, the Permanent Five Members of the UN Security Council (UK, USA, France, Russia, China) are in a superior position than the other States","No, all States are considered equal as sovereign States (the principle of sovereign equality, enshrined in article 2, para 1 UN Charter)",Whether there will be any hierarchy among States is a matter of each international organization to decide,C,False,0.004279525019228458,0.015575439669191837,0.0018654963932931423,0.005231207236647606
What is the declaratory theory of recognition?,Recognition is determinate for the existence of statehood,Recognition is simply declaratory of statehood but not determinate,Recognition is merely a declaration of interest,Recognition requires a declaration by the newly-created State,B,True,0.006062299478799105,0.019625060260295868,0.002212666440755129,0.006554462015628815
"What is the function of ""standard-setting in human rights diplomacy?",Standard-setting means putting forward binding legal standards,Standard-setting means merely proposing binding legal standards,Standard-setting means putting forward non-binding legal standards,Standard-setting means setting certain standards of conduct in human rights treaties,C,False,0.006133828312158585,0.01740928739309311,0.002225097268819809,0.006200121715664864
What dimension did the Kadi judgment introduce with respect to the incorporation of UN Security Council resolutions?,The Kadi judgment demanded that UNSC resolutions are construed in accordance with human rights,The Kadi judgment demanded that all UNSC resolutions be incorporated without any further implementing legislation,The Kadi judgment required that important UNSC resolutions be transformed and not merely incorporated,The Kadi judgment claimed that UNSC resolutions are not binding if they violate human rights,A,False,0.005485363770276308,0.017881028354167938,0.002108251443132758,0.00602679792791605
Magna Carta was,An agreement in 1689 which guaranteed freedom of speech in Parliament,"An agreement in 1215 between the King and his barons, which guaranteed certain protections for subjects",A constitutional document in the 19th century guaranteeing the right to vote,A document setting a complete Bill of Rights for England,B,True,0.005343232769519091,0.01619625836610794,0.0021251041907817125,0.005969437770545483
Do individuals (physical) persons enjoy international legal personality in the same manner as States and international organisations?,"Individuals enjoy international legal personality, but this is limited",Individuals enjoy unlimited international legal personality,Individuals do not enjoy any international legal personality,Individuals can only bring claims before international courts,A,False,0.006432567723095417,0.019460106268525124,0.0022350791841745377,0.0067907171323895454
Is there any hierarchy or priority among the various methods of peaceful settlement of disputes?,"Yes, all the political methods (e.g. negotiation, mediation, inquiry, conciliation) should be exhausted prior to resorting to legal methods","Legal methods prevail over the political methods, since they are binding upon the parties",There is no hierarchy among these methods and the choice belongs to the disputing States,It is a matter of an impartial third party to decide which method will have priority over the other,C,False,0.004971953108906746,0.016509855166077614,0.0019634116906672716,0.005863702390342951
